Список удостоверяющих центров, аккредитованных в Сети доверенных удостоверяющих центров Федеральной налоговой службы;;
"НОУ ""РНТЦ ЭКИБ"" (Негосударственное образовательное учреждение ""Региональный научно-технический центр экономической и информационной безопасности"")  ";390010, г. Рязань, ул. Новикова-Прибоя, д. 10, ;http://rntc62.ru/ca.html
"ООО ""ТехноКад""";115114, Москва, Павелецкая наб., д.8, стр.6;http://www.technokad.ru/
"ООО ""Центр информационной безопасности""";656056, Алтайский край, г. Барнаул, ул. Мало-Тобольская, д.18а;http://secret-net.ru/
"УИЦ (Негосударственное образовательное учреждение ""Учебно-информационный центр"")";392036, Тамбовская область, г. Тамбов, ул. Коммунальная, д. 50;http://uic68.ru/
"ООО ""РК"" (Общество с ограниченной ответственностью ""Русская компания"")";625000, г. Тюмень, ул. Республики, д.53;http://www.rk72.ru/
"ОАО ""Уралсвязьинформ""";620014, Екатеринбург, ул. Московская, д.11;http://www.u-tel.ru/
"ЗАО ""Удостоверяющий центр""";195112, Санкт-Петербург, Малоохтинский проспект, д.68;http://www.nwudc.ru/
"Нижегородский филиал ФГУП ""ЦентрИнформ""";603098, Нижний Новгород, пр. Гагарина, д.28;http://www.r52.center-inform.ru/
"ООО ""Компания Раздолье""";432071, г. Ульяновск, ул. Марата, д.15 ;http://www.razdolie.ru/
"ООО ""КриптоСтандарт""";344006, г.Ростов-на-Дону, ул.Пушкинская, 104/32, офис 61;http://www.cryptostandart.ru/
"АУ ""Югорский социальный регистр""";628006, ХМАО-Югра, г.Ханты-Мансийск, ул.Мира, д.5;http://www.spkugra.ru/
"ООО ""КОРУС Консалтинг СНГ"" (Общество с ограниченной ответственностью ""КОРУС Консалтинг СНГ"")"; 199178, Санкт-Петербург, Малый пр. В.О., д.54, корп.3, лит.Ж;www.edisfera.ru
"Фонд ""Центр инноваций""  (Некоммерческая организация Фонд ""Центр инноваций и информационных технологий"")";119071,  Москва, ул.Малая Калужская, д.15, стр.1;www.fciit.ru
"ЗАО ""НУЦ ЭЦП""  (Закрытое акционерное общество ""Национальный Удостоверяющий Центр подтверждения подлинности Электронной Цифровой Подписи"")";125212, Москва, Головинское шоссе, д.8, корп. 2;www.eldokument.ru
"ООО НПФ ""Форус""  (Общество с ограниченной ответственностью Научно-производственная фирма ""Форус"")";664003,  г.Иркутск, ул. Урицкого, 8;www.forus.ru
"ЗАО ""УЦ Урала"" (Закрытое акционерное общество ""Удостоверяющий Центр Урала"") ";"620026,  Екатеринбург, ул. Красноармейская, д.78Б  ";www.uralca.ru
"ООО ""ГСЦ""  (Общество с ограниченной ответственностью ""Главный Сертифицирующий Центр"")";123298, г. Москва, ул. 3-ая Хорошовская, д.13     ;www.ibpost.ru
"ООО ""ИНЕТ""  ";"650000, г. Кемерово,ул. Демьяна Бедного, 6, офис 56";www.kemnet.ru 
"ЗАО ""ЦИБ""  (Закрытое акционерное общество ""Центр информационной безопасности"")";"630091,Новосибирская обл, г. Новосибирск, Красный пр-кт, 54.";www.nalog.ru.com
"ОГУ ""Смоленский областной центр информационно-коммуникационных технологий""  (Областное государственное учреждение ""Смоленский областной центр информационно-коммуникационных технологий"")";" 214008,  г. Смоленск, пл.Ленина, д.1  214018, г. Смоленск, ул. Тенишевой, д.22    ";http://ca.admin.smolensk.ru/
"ООО ""ЦЗИ""Гриф""  (Общество с ограниченной ответственностью ""Центр защиты информации ""Гриф"")";"152920, Ярославская область, г. Рыбинск, бульвар Победы, д. 17";www.ca.czi-grif.ru
